PERCENTDEFEAT,CHAMP1,TEAM,CHAMP1_POSITION,SEASON,YEAR,CHAMP2,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY
0,Elise,Red,AD_CARRY,Summer,2014,Thresh,SUPPORT,2,0,2,1
0,RekSai,Red,AD_CARRY,Summer,2016,Nautilus,SUPPORT,2,2,4,0
0,Nunu,Blue,JUNGLER,Summer,2015,Azir,MID_LANER,5,1,6,0
0.0,Ezreal,Red,AD_CARRY,Summer,2015,Alistar,SUPPORT,1,0,1,1.0
0,Ezreal,Red,AD_CARRY,Spring,2017,Taric,SUPPORT,1,1,2,0
1,Gragas,Red,JUNGLER,Spring,2015,Zed,MID_LANER,0,2,2,0
0,Sejuani,Blue,JUNGLER,Spring,2017,Karma,SUPPORT,1,1,2,0
0,Sivir,Red,AD_CARRY,Summer,2015,Braum,SUPPORT,5,7,12,0
0,Camille,Red,TOP_LANER,Summer,2017,Elise,JUNGLER,7,6,13,0
1,Sejuani,Blue,JUNGLER,Summer,2017,Azir,MID_LANER,0,3,3,0
1.0,Lucian,Red,AD_CARRY,Summer,2016,Morgana,SUPPORT,0,1,1,0.0
1.0,Sejuani,Red,JUNGLER,Summer,2015,Orianna,MID_LANER,0,1,1,0.0
0,Graves,Red,JUNGLER,Summer,2017,Cassiopeia,MID_LANER,1,2,3,0
1.0,Ryze,Blue,TOP_LANER,Summer,2015,Sejuani,JUNGLER,0,1,1,0.0
1.0,Corki,Blue,AD_CARRY,Summer,2017,Thresh,SUPPORT,0,1,1,0.0
0,Ivern,Red,JUNGLER,Spring,2017,Ryze,MID_LANER,2,6,8,0
0,RekSai,Blue,JUNGLER,Spring,2017,Katarina,MID_LANER,1,1,2,0
0.0,Warwick,Blue,JUNGLER,Spring,2017,Taric,SUPPORT,1,0,1,1.0
1.0,Amumu,Blue,JUNGLER,Summer,2017,Rakan,SUPPORT,0,1,1,0.0
0,JarvanIV,Red,JUNGLER,Spring,2018,Orianna,MID_LANER,2,5,7,0
0.0,LeeSin,Blue,JUNGLER,Summer,2017,Janna,SUPPORT,1,0,1,1.0
0,Shen,Red,TOP_LANER,Summer,2015,Ekko,JUNGLER,4,2,6,0
1.0,Olaf,Blue,JUNGLER,Spring,2017,Zilean,SUPPORT,0,1,1,0.0
1,Lucian,Blue,AD_CARRY,Spring,2015,Blitzcrank,SUPPORT,0,2,2,0
0,Elise,Blue,JUNGLER,Summer,2016,Azir,MID_LANER,20,16,36,0
0,Nidalee,Red,JUNGLER,Spring,2016,Lux,MID_LANER,3,4,7,0
0,Nidalee,Red,AD_CARRY,Summer,2015,Braum,SUPPORT,3,4,7,0
0,Sivir,Red,AD_CARRY,Summer,2015,Bard,SUPPORT,7,0,7,1
1.0,Jax,Red,TOP_LANER,Summer,2016,Graves,JUNGLER,0,1,1,0.0
0,Jayce,Blue,TOP_LANER,Summer,2017,Elise,JUNGLER,11,8,19,0
0.0,Jinx,Red,AD_CARRY,Summer,2017,Zyra,SUPPORT,1,0,1,1.0
0,Jhin,Blue,AD_CARRY,Summer,2017,Alistar,SUPPORT,1,2,3,0
0.0,Sejuani,Blue,JUNGLER,Summer,2017,Zilean,SUPPORT,1,0,1,1.0
0,Jhin,Red,AD_CARRY,Summer,2017,Thresh,SUPPORT,13,9,22,0
0.0,LeeSin,Blue,JUNGLER,Spring,2017,Jhin,MID_LANER,1,0,1,1.0
0,Rengar,Blue,JUNGLER,Spring,2017,Kassadin,MID_LANER,2,1,3,0
1.0,Olaf,Blue,JUNGLER,Spring,2015,Chogath,MID_LANER,0,1,1,0.0
0,Lulu,Red,TOP_LANER,Spring,2015,LeeSin,JUNGLER,2,2,4,0
0,Khazix,Red,JUNGLER,Spring,2017,Kassadin,MID_LANER,2,3,5,0
0,Trundle,Red,TOP_LANER,Spring,2017,Elise,JUNGLER,2,3,5,0
0,Gragas,Blue,JUNGLER,Summer,2017,Karma,SUPPORT,7,8,15,0
0,Nidalee,Blue,JUNGLER,Spring,2015,Lissandra,MID_LANER,2,0,2,1
0,Vayne,Red,AD_CARRY,Spring,2016,Janna,SUPPORT,2,0,2,1
1,JarvanIV,Blue,JUNGLER,Spring,2018,Vladimir,MID_LANER,0,2,2,0
0,Ivern,Blue,JUNGLER,Summer,2017,Orianna,MID_LANER,1,3,4,0
1.0,Jax,Red,TOP_LANER,Summer,2017,Trundle,JUNGLER,0,1,1,0.0
0.0,Rumble,Red,TOP_LANER,Summer,2017,Hecarim,JUNGLER,1,0,1,1.0
0,Sivir,Blue,AD_CARRY,Summer,2015,Braum,SUPPORT,6,5,11,0
0,Olaf,Blue,JUNGLER,Summer,2016,Taric,SUPPORT,2,0,2,1
1.0,Kayn,Red,JUNGLER,Summer,2017,Cassiopeia,MID_LANER,0,1,1,0.0
1.0,RekSai,Red,JUNGLER,Spring,2015,Jayce,MID_LANER,0,1,1,0.0
0,Evelynn,Blue,JUNGLER,Summer,2015,Ezreal,MID_LANER,1,6,7,0
0.0,Elise,Red,JUNGLER,Summer,2016,Diana,MID_LANER,1,0,1,1.0
1.0,Chogath,Blue,TOP_LANER,Summer,2017,LeeSin,JUNGLER,0,1,1,0.0
0,Varus,Red,AD_CARRY,Spring,2017,Soraka,SUPPORT,1,1,2,0
0,Ashe,Red,AD_CARRY,Summer,2015,Leona,SUPPORT,1,3,4,0
0,Olaf,Blue,JUNGLER,Summer,2017,Taliyah,MID_LANER,5,2,7,0
0,Elise,Red,AD_CARRY,Summer,2016,Braum,SUPPORT,29,34,63,0
0,Irelia,Blue,TOP_LANER,Summer,2016,Nidalee,JUNGLER,11,4,15,0
0,Olaf,Red,AD_CARRY,Summer,2016,Zyra,SUPPORT,2,3,5,0
0,Elise,Red,AD_CARRY,Summer,2015,Shen,SUPPORT,3,0,3,1
1.0,Evelynn,Blue,JUNGLER,Spring,2017,Lulu,SUPPORT,0,1,1,0.0
1.0,Vladimir,Blue,TOP_LANER,Spring,2018,Nidalee,JUNGLER,0,1,1,0.0
0,JarvanIV,Blue,JUNGLER,Summer,2014,Fizz,MID_LANER,1,1,2,0
1.0,Evelynn,Red,JUNGLER,Summer,2015,MasterYi,MID_LANER,0,1,1,0.0
0.0,Graves,Blue,JUNGLER,Spring,2017,Anivia,MID_LANER,1,0,1,1.0
0,Maokai,Red,TOP_LANER,Spring,2015,Nidalee,JUNGLER,5,3,8,0
0,Elise,Blue,JUNGLER,Spring,2016,TwistedFate,MID_LANER,9,5,14,0
0,Kennen,Blue,TOP_LANER,Spring,2015,RekSai,JUNGLER,5,3,8,0
0,Elise,Blue,JUNGLER,Summer,2014,Zed,MID_LANER,1,1,2,0
0.0,Renekton,Red,TOP_LANER,Spring,2015,Elise,JUNGLER,1,0,1,1.0
1.0,Tristana,Red,AD_CARRY,Summer,2015,Annie,SUPPORT,0,1,1,0.0
0,Nunu,Red,JUNGLER,Summer,2017,Lucian,MID_LANER,1,1,2,0
0,Jhin,Red,AD_CARRY,Summer,2017,Blitzcrank,SUPPORT,3,1,4,0
0,Rengar,Blue,JUNGLER,Summer,2017,Ahri,MID_LANER,1,1,2,0
1,Sejuani,Red,JUNGLER,Spring,2018,Syndra,MID_LANER,0,3,3,0
0,Nunu,Blue,JUNGLER,Spring,2015,Azir,MID_LANER,4,2,6,0
0,Elise,Red,AD_CARRY,Summer,2017,Nami,SUPPORT,1,2,3,0
1.0,Poppy,Red,TOP_LANER,Spring,2016,Rengar,JUNGLER,0,1,1,0.0
0,Kindred,Red,JUNGLER,Spring,2016,Kassadin,MID_LANER,2,2,4,0
0.0,Lucian,Red,AD_CARRY,Spring,2017,Sona,SUPPORT,1,0,1,1.0
0,Gragas,Blue,JUNGLER,Summer,2017,Bard,SUPPORT,5,2,7,0
0,Graves,Red,JUNGLER,Spring,2017,Taliyah,MID_LANER,1,8,9,0
0,Hecarim,Blue,JUNGLER,Summer,2016,Cassiopeia,MID_LANER,3,1,4,0
0,Varus,Blue,AD_CARRY,Summer,2017,Zyra,SUPPORT,13,18,31,0
0,Gragas,Blue,TOP_LANER,Summer,2017,Graves,JUNGLER,3,2,5,0
0.0,Caitlyn,Red,AD_CARRY,Spring,2018,Zilean,SUPPORT,1,0,1,1.0
1,Pantheon,Blue,JUNGLER,Spring,2015,Morgana,SUPPORT,0,2,2,0
1.0,Kennen,Blue,TOP_LANER,Summer,2016,Gragas,JUNGLER,0,1,1,0.0
0,Ezreal,Red,AD_CARRY,Spring,2018,Shen,SUPPORT,1,2,3,0
1.0,LeeSin,Red,JUNGLER,Summer,2015,Xerath,MID_LANER,0,1,1,0.0
1.0,Vayne,Red,AD_CARRY,Summer,2017,Leona,SUPPORT,0,1,1,0.0
1.0,Maokai,Red,TOP_LANER,Summer,2017,Kindred,JUNGLER,0,1,1,0.0
0.0,Nidalee,Blue,JUNGLER,Spring,2016,Karma,MID_LANER,1,0,1,1.0
0,Quinn,Red,TOP_LANER,Spring,2016,LeeSin,JUNGLER,2,0,2,1
0,Elise,Red,AD_CARRY,Summer,2016,Zyra,SUPPORT,5,1,6,0
0,Lissandra,Red,TOP_LANER,Spring,2016,Ekko,JUNGLER,1,1,2,0
0.0,Nautilus,Red,TOP_LANER,Spring,2016,Quinn,JUNGLER,1,0,1,1.0
0.0,Jayce,Red,TOP_LANER,Summer,2017,Graves,JUNGLER,1,0,1,1.0
0,Gragas,Blue,TOP_LANER,Summer,2016,RekSai,JUNGLER,3,4,7,0
1.0,Maokai,Blue,JUNGLER,Spring,2018,Corki,MID_LANER,0,1,1,0.0
1.0,Amumu,Blue,JUNGLER,Summer,2017,Orianna,MID_LANER,0,1,1,0.0
1,Kalista,Red,AD_CARRY,Spring,2016,Poppy,SUPPORT,0,5,5,0
0.0,Ryze,Blue,TOP_LANER,Spring,2016,Elise,JUNGLER,1,0,1,1.0
1.0,Jinx,Blue,AD_CARRY,Summer,2016,Alistar,SUPPORT,0,1,1,0.0
0,KogMaw,Red,AD_CARRY,Summer,2017,Morgana,SUPPORT,2,2,4,0
0,Jhin,Red,AD_CARRY,Spring,2017,Zyra,SUPPORT,18,24,42,0
1,Fiora,Blue,TOP_LANER,Summer,2015,RekSai,JUNGLER,0,5,5,0
1,Trundle,Blue,JUNGLER,Spring,2016,Viktor,MID_LANER,0,2,2,0
0,Jayce,Blue,TOP_LANER,Spring,2018,JarvanIV,JUNGLER,2,2,4,0
0.0,Olaf,Blue,JUNGLER,Spring,2015,Annie,SUPPORT,1,0,1,1.0
0,LeeSin,Blue,JUNGLER,Spring,2017,Nautilus,SUPPORT,2,1,3,0
0.0,MissFortune,Red,AD_CARRY,Spring,2016,Braum,SUPPORT,1,0,1,1.0
0,Elise,Blue,JUNGLER,Summer,2016,Varus,MID_LANER,5,7,12,0
0.0,FiddleSticks,Blue,JUNGLER,Summer,2014,Janna,SUPPORT,1,0,1,1.0
0.0,LeeSin,Red,JUNGLER,Summer,2016,Anivia,MID_LANER,1,0,1,1.0
0.0,Evelynn,Red,AD_CARRY,Spring,2018,Taric,SUPPORT,1,0,1,1.0
0,Ashe,Red,AD_CARRY,Spring,2017,Bard,SUPPORT,4,5,9,0
0,LeeSin,Blue,JUNGLER,Spring,2017,Viktor,MID_LANER,2,5,7,0
1.0,Karma,Blue,AD_CARRY,Summer,2016,Ashe,SUPPORT,0,1,1,0.0
0,RekSai,Blue,JUNGLER,Summer,2017,Viktor,MID_LANER,2,4,6,0
0.0,TahmKench,Blue,TOP_LANER,Summer,2015,Gragas,JUNGLER,1,0,1,1.0
1.0,Hecarim,Blue,JUNGLER,Spring,2015,Lulu,SUPPORT,0,1,1,0.0
0,LeeSin,Red,AD_CARRY,Summer,2017,Braum,SUPPORT,18,25,43,0
1.0,Jax,Red,TOP_LANER,Spring,2018,Gragas,JUNGLER,0,1,1,0.0
0.0,Shen,Red,TOP_LANER,Spring,2017,Rumble,JUNGLER,1,0,1,1.0
0,Nidalee,Red,AD_CARRY,Spring,2016,Braum,SUPPORT,10,10,20,0
1.0,Vayne,Red,AD_CARRY,Spring,2016,Thresh,SUPPORT,0,1,1,0.0
0,JarvanIV,Red,JUNGLER,Summer,2017,Kassadin,MID_LANER,2,1,3,0
1,Sivir,Red,AD_CARRY,Spring,2018,Alistar,SUPPORT,0,2,2,0
0,Kindred,Red,AD_CARRY,Spring,2016,Thresh,SUPPORT,4,6,10,0
0,Olaf,Red,TOP_LANER,Spring,2016,Graves,JUNGLER,1,1,2,0
0,Kennen,Blue,TOP_LANER,Summer,2017,Zac,JUNGLER,3,4,7,0
0.0,Nidalee,Red,JUNGLER,Spring,2015,KogMaw,MID_LANER,1,0,1,1.0
0,LeeSin,Red,AD_CARRY,Spring,2017,TahmKench,SUPPORT,4,7,11,0
0,Gragas,Blue,JUNGLER,Summer,2016,Anivia,MID_LANER,2,1,3,0
0.0,Maokai,Blue,TOP_LANER,Summer,2015,Shyvana,JUNGLER,1,0,1,1.0
0.0,Ezreal,Red,AD_CARRY,Summer,2015,Gragas,SUPPORT,1,0,1,1.0
1.0,Caitlyn,Blue,AD_CARRY,Spring,2017,Brand,SUPPORT,0,1,1,0.0
1,Sejuani,Red,JUNGLER,Summer,2015,Viktor,MID_LANER,0,3,3,0
0,Gragas,Blue,JUNGLER,Summer,2015,Chogath,MID_LANER,3,2,5,0
1,Ezreal,Red,AD_CARRY,Spring,2017,Camille,SUPPORT,0,2,2,0
0,Ashe,Blue,AD_CARRY,Summer,2016,TahmKench,SUPPORT,11,6,17,0
0,Gragas,Blue,JUNGLER,Spring,2017,Nami,SUPPORT,2,1,3,0
0.0,Zac,Red,JUNGLER,Summer,2015,Kassadin,MID_LANER,1,0,1,1.0
0,Graves,Red,JUNGLER,Spring,2017,Zilean,MID_LANER,1,2,3,0
0,Nautilus,Blue,TOP_LANER,Spring,2017,RekSai,JUNGLER,4,3,7,0
0.0,Vladimir,Red,TOP_LANER,Spring,2015,Vi,JUNGLER,1,0,1,1.0
1.0,Ashe,Blue,AD_CARRY,Summer,2017,Maokai,SUPPORT,0,1,1,0.0
0.0,Vayne,Blue,AD_CARRY,Spring,2017,Nami,SUPPORT,1,0,1,1.0
0,Rumble,Blue,TOP_LANER,Summer,2014,LeeSin,JUNGLER,3,4,7,0
0.0,Pantheon,Blue,JUNGLER,Spring,2015,Leblanc,MID_LANER,1,0,1,1.0
1.0,Volibear,Red,JUNGLER,Summer,2017,Taliyah,MID_LANER,0,1,1,0.0
0,RekSai,Blue,JUNGLER,Summer,2015,Jayce,MID_LANER,1,4,5,0
0,JarvanIV,Blue,TOP_LANER,Summer,2017,Gragas,JUNGLER,22,10,32,0
0,Kalista,Blue,AD_CARRY,Spring,2016,Thresh,SUPPORT,32,23,55,0
0.0,RekSai,Red,JUNGLER,Spring,2017,Varus,MID_LANER,1,0,1,1.0
0,Fizz,Blue,TOP_LANER,Spring,2017,Khazix,JUNGLER,2,1,3,0
1.0,Jhin,Blue,AD_CARRY,Spring,2017,Leona,SUPPORT,0,1,1,0.0
1.0,Nunu,Blue,JUNGLER,Summer,2015,Fizz,MID_LANER,0,1,1,0.0
1.0,Maokai,Red,TOP_LANER,Summer,2016,Volibear,JUNGLER,0,1,1,0.0
0,Kennen,Red,TOP_LANER,Summer,2015,Gragas,JUNGLER,3,2,5,0
0,Nunu,Blue,JUNGLER,Summer,2015,Thresh,SUPPORT,3,5,8,0
0,Gangplank,Red,TOP_LANER,Summer,2015,Gragas,JUNGLER,4,4,8,0
0,Lucian,Red,AD_CARRY,Summer,2016,Bard,SUPPORT,12,11,23,0
1.0,RekSai,Red,JUNGLER,Summer,2015,Rumble,MID_LANER,0,1,1,0.0
1.0,Zac,Blue,JUNGLER,Spring,2015,Zed,MID_LANER,0,1,1,0.0
1.0,Evelynn,Red,JUNGLER,Spring,2015,Lulu,MID_LANER,0,1,1,0.0
0.0,Sion,Red,JUNGLER,Spring,2015,Ahri,MID_LANER,1,0,1,1.0
0,Corki,Red,AD_CARRY,Summer,2015,Nautilus,SUPPORT,8,12,20,0
